label,sample_type,date,lat,lon,cell_lat,cell_lon,iy,ix,r1,r3,r7,r15,r30,max3_in15,wetdays15,intensity3,api,days_since_heavy,year,month,doy_sin,doy_cos,block,elev,slope,aspect_sin,aspect_cos,curvature,slope_mean_nbr,slope_max_nbr,relief_nbr
1,pos,2014-09-22,26.1985,91.7998,26.25,91.75,21,17,90.21906280517578,112.9434585571289,128.25892639160156,215.29351806640625,289.26678466796875,112.9434585571289,10.0,37.64781951904297,168.5209503173828,0.0,2014,9,-0.9882042449941422,-0.15314166701312007,26_91,78.13919067382812,6.917292318846526,-0.3305826242982368,-0.9437770544530583,0.0036461749013588346,5.796191119258535,21.254660441100942,156.1204833984375
0,neg_hard,2013-10-24,27.325205361758268,88.15925518359766,27.25,88.25,25,3,0.0,19.522537231445312,45.404205322265625,155.53123474121094,231.14208984375,110.12702941894531,7.0,6.50751256942749,84.04702758789062,9.0,2013,10,-0.9223291176290545,0.3864052261209853,27_88,1691.0003662109375,43.00444145166039,-0.8020898982677025,-0.5972033113579551,0.00350212397916786,29.399178607635996,50.39542590033545,1068.9522705078125
0,neg_wet,2016-04-22,26.978615274742875,91.30521667784265,27.0,91.25,24,15,35.11417007446289,102.70950317382812,206.03367614746094,290.2260437011719,428.0628967285156,110.27323913574219,12.0,34.23649978637695,211.2541961669922,60.0,2016,4,0.9312100364121947,-0.3644830148102912,26_91,980.091796875,23.527084520301273,0.9657503356872391,0.2594730990295234,0.0017687407249233284,28.48848721586743,47.235195724558004,929.4637451171875
0,neg_general,2009-09-08,23.125156792240492,92.14402113282728,23.25,92.25,9,19,4.944063663482666,7.364679336547852,46.199302673339844,242.3560333251953,519.8671875,94.40867614746094,11.0,2.454893112182617,138.22940063476562,8.0,2009,9,-0.9231578729647039,-0.38442104726885545,23_92,46.33949661254883,7.948461796501294,0.9948637840877418,0.10122277960330467,-0.0003750629818692027,5.009940313393292,17.202935806892224,86.3717269897461
0,neg_hard,2011-11-02,27.867466069018526,93.82772657928747,27.75,93.75,27,25,0.0,1.6242783069610596,2.013857364654541,2.5190186500549316,10.672500610351562,3.163054943084717,0.0,0.5414261221885681,7.401644229888916,47.0,2011,11,-0.8517119107469189,0.5240103253675756,27_93,1207.73095703125,35.74740915244634,-0.6757372760596326,-0.7371425464206417,-0.003404621959787281,32.02754355647833,46.59504966093859,1419.5968017578125
0,neg_general,2011-09-28,27.275538483615634,96.99902971487715,27.25,97.0,25,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.805549183751646e-12,60.0,2011,9,-0.9987235240803972,-0.050510617185222886,27_96,1925.342041015625,25.210092468064026,-0.9026697014097742,0.43033406808756053,0.01025345592049961,32.657147436018924,50.43341642623226,1246.6441650390625
0,neg_general,2016-05-03,29.12535469483421,94.0249036235981,29.25,94.0,33,26,0.0,23.94150161743164,62.6953239440918,198.66207885742188,360.493896484375,91.43693542480469,13.0,7.9805006980896,116.03154754638672,8.0,2016,5,0.8460288880917339,-0.533137056031809,29_94,4579.4814453125,34.3015987801075,-0.7367334232341791,0.6761833058347773,-0.004406018342698039,24.20139679437195,41.64459517537977,997.758056640625
0,neg_wet,2008-10-26,24.94193036089431,93.63444560707987,25.0,93.75,16,25,36.22816848754883,49.265586853027344,49.41901397705078,50.061500549316406,107.05403137207031,49.265586853027344,2.0,16.42186164855957,54.51644515991211,60.0,2008,10,-0.9011686968561569,0.4334685453485363,24_93,1069.86474609375,25.103916911686298,0.9860853044917668,0.16624010426301944,0.009057654724356046,21.07385781788853,50.810511971681876,803.637939453125
0,neg_hard,2008-07-29,27.64269264527355,93.82661784269929,27.75,93.75,27,25,16.159250259399414,20.691757202148438,56.650184631347656,194.00973510742188,608.286865234375,95.20515441894531,10.0,6.897252559661865,150.04269409179688,25.0,2008,7,-0.46896519100763184,-0.8832166493127127,27_93,1720.9874267578125,23.30406325286426,0.7379903665709769,0.6748112468301304,0.0014465840493105696,18.37030612227813,34.76009047639622,687.85595703125
0,neg_hard,2010-06-21,24.205457997946443,94.0403980405067,24.25,94.0,13,26,1.6381691694259644,20.20572280883789,45.17417526245117,163.53289794921875,293.5338439941406,78.12518310546875,10.0,6.735240936279297,86.95475769042969,12.0,2010,6,0.18175978759137534,-0.9833429613388902,24_94,1760.7816162109375,0.4500846053495663,0.6079919074754191,0.793943222431177,-0.009056028008514683,23.271551839652545,44.07195416107053,697.708251953125
